,auth_id,name,last_name,citations,cited_by,publications,orcid
5753,57207772184,Pablo,Esparza,0.0,0,1.0,
5754,57193262888,Wassim,Katerji,0.0,0,1.0,
5755,55634951300,Natalia,Pedrajas,8.0,8,2.0,
5756,57208584188,Pablo,González Frutos,2.0,2,1.0,
5757,57205681990,Gerardo,Lagunes-García,0.0,0,2.0,
5758,57189044658,J. R.,Álvarez Redondo,1.0,1,1.0,
5759,56218207400,Carlos De Gonzalo,Aranoa,1.0,1,1.0,
5760,57199680063,Maria Isabel,Touceda,2.0,2,1.0,
5761,57202647161,P.,Álvarez,0.0,0,1.0,
5762,7202350364,Martín,Mayo,11.0,11,1.0,
5763,57203166035,Teresa,Iturrioz Aguirre,0.0,0,1.0,
5764,57191888107,Francisco J.,Fernández-Ferreras,0.0,0,1.0,
5765,55115800900,Félix,García Merayo,2.0,2,2.0,
5766,57207228870,Javier H.,Ayllón,0.0,0,1.0,
5767,57197185671,Jose Manuel,Arias,4.0,4,1.0,
5768,57197159085,P.,Gutiérrez,10.0,10,1.0,
5769,57207471163,Ali,Abavisani,0.0,0,1.0,0000-0002-0013-8419
5770,10739463200,Rafael,Aracil-Santonja,66.0,66,2.0,
5771,55955323800,Santiago,Higuera De Frutos,15.0,15,2.0,
5772,55892932600,J. A.,Alierta,10.0,9,2.0,
5773,57203004307,J. A.,Ferńandez De Pozo,0.0,0,1.0,
5774,14021088600,David Pérez,Del Rey,7.0,7,2.0,
5775,55796965400,Lázaro,Mediavilla-Saldaña,5.0,5,2.0,
5776,57195629213,Álvaro,Sánchez Isasi,6.0,6,1.0,
5777,57188749240,Alvaro,Picazo Iranzo,0.0,0,1.0,
5778,6504501683,I.,Gayo,2.0,2,1.0,
5779,56198170000,J. P.,Magraner,1.0,1,1.0,
5780,57198924909,Montes J.R.,García,0.0,0,1.0,
5781,57207686612,J. M.,Rojas Siles,0.0,0,1.0,
5782,35097578100,Danielcabeza,Gras,19.0,19,2.0,
5783,57195374772,Samanta,Villanueva-Mascato,0.0,0,1.0,
5784,56845886600,L. R.,Nøñez,0.0,0,1.0,
5785,57202626041,L.,Flores,49.0,49,1.0,
5786,36667137000,Silvia,Molina-Plaza,0.0,0,2.0,
5787,6505554084,Maria Angeles,Mahillo,4.0,4,1.0,
5788,6504664763,G.,Gavin Canti,0.0,0,1.0,
5789,56108143500,Jose Miguel,Flores,6.0,6,1.0,
5790,57202001036,J.,Fernando Sánchez-Rada,0.0,0,1.0,
5791,56044034000,Juan M.,Moratilla,6.0,6,1.0,
5792,57204421418,Rubén,Felices,0.0,0,1.0,
5793,57202832092,Ricardo,Laín,24.0,24,1.0,
5794,57208454918,A. García,Hermida,0.0,0,1.0,
5795,57200204132,Novella María Fernández,Fernando,0.0,0,1.0,
5796,33167872800,J. C.,Suérez,17.0,17,2.0,
5797,7102857328,Alfonso R.,Patón,71.0,71,1.0,
5798,57188454500,E.,Jiménez-Muñoz,0.0,0,1.0,
5799,55735847100,Ernesto Moreno,Cuerva,2.0,2,2.0,
5800,56979982600,R.,Harzalli,5.0,5,1.0,
5801,56909681700,Enrique,Calderon,0.0,0,1.0,
5802,16218177600,J. M.,Campos,21.0,18,2.0,
5803,57194002266,José,María,1.0,1,1.0,
5804,56069763600,F.,Jurado Moreno,0.0,0,0.0,
5805,7202779715,J. E.,Garrido,1.0,1,1.0,
5806,15076852800,Pedro,Guerra-Gutiérrez,55.0,55,2.0,
5807,57196215967,Khanh Nguyen,Gia,0.0,0,1.0,
5808,57198409804,Eva,Ponce,11.0,11,1.0,
5809,6507663951,Francisco Martín Fuertes,Hernández-Sonseca,0.0,0,1.0,
5810,57194182883,Angela,Nuñez-González,0.0,0,1.0,
5811,57195415795,J. E.,García-González,0.0,0,0.0,
